Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-80.4375,-62.90625,90.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-78.375,-62.90625,90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-64.453125,-54.140625,90.0,top
D00,D,Nexperia_CFP3_SOD-123W,-79.921875,-50.984375,180.0,top
D01,D,Nexperia_CFP3_SOD-123W,-73.21875,-5.671875,180.0,top
D02,D,Nexperia_CFP3_SOD-123W,-56.71875,-3.609375,180.0,top
D03,D,Nexperia_CFP3_SOD-123W,-40.21875,-1.546875,180.0,top
D04,D,Nexperia_CFP3_SOD-123W,-23.71875,-3.609375,180.0,top
D05,D,Nexperia_CFP3_SOD-123W,-7.21875,-5.671875,180.0,top
D10,D,Nexperia_CFP3_SOD-123W,-79.921875,-53.5625,180.0,top
D11,D,Nexperia_CFP3_SOD-123W,-73.21875,-22.171875,180.0,top
D12,D,Nexperia_CFP3_SOD-123W,-56.71875,-20.109375,180.0,top
D13,D,Nexperia_CFP3_SOD-123W,-40.21875,-18.046875,180.0,top
D14,D,Nexperia_CFP3_SOD-123W,-23.71875,-20.109375,180.0,top
D15,D,Nexperia_CFP3_SOD-123W,-7.21875,-22.171875,180.0,top
D20,D,Nexperia_CFP3_SOD-123W,-79.921875,-56.140625,180.0,top
D21,D,Nexperia_CFP3_SOD-123W,-73.21875,-38.671875,180.0,top
D22,D,Nexperia_CFP3_SOD-123W,-56.71875,-36.609375,180.0,top
D23,D,Nexperia_CFP3_SOD-123W,-40.21875,-34.546875,180.0,top
D24,D,Nexperia_CFP3_SOD-123W,-23.71875,-36.609375,180.0,top
D25,D,Nexperia_CFP3_SOD-123W,-7.21875,-38.671875,180.0,top
D30,D,Nexperia_CFP3_SOD-123W,-79.921875,-58.71875,180.0,top
D34,D,Nexperia_CFP3_SOD-123W,-19.078125,-55.171875,180.0,top
D35,D,Nexperia_CFP3_SOD-123W,-2.510414,-55.171875,180.0,top
R1,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-62.390625,-54.140625,90.0,top
R3,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-63.421875,-57.234375,0.0,top
