Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9375,-59.8125,-90.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,65.484375,-61.875,90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,78.890625,-54.140625,90.0,top
D00,D,Nexperia_CFP3_SOD-123W,9.28125,-5.671875,180.0,top
D01,D,Nexperia_CFP3_SOD-123W,25.78125,-3.609375,180.0,top
D02,D,Nexperia_CFP3_SOD-123W,42.28125,-1.546875,180.0,top
D03,D,Nexperia_CFP3_SOD-123W,58.78125,-3.609375,180.0,top
D04,D,Nexperia_CFP3_SOD-123W,75.28125,-5.671875,180.0,top
D05,D,Nexperia_CFP3_SOD-123W,64.96875,-50.53125,90.0,top
D10,D,Nexperia_CFP3_SOD-123W,9.28125,-22.171875,180.0,top
D11,D,Nexperia_CFP3_SOD-123W,25.78125,-20.109375,180.0,top
D12,D,Nexperia_CFP3_SOD-123W,42.28125,-18.046875,180.0,top
D13,D,Nexperia_CFP3_SOD-123W,58.78125,-20.109375,180.0,top
D14,D,Nexperia_CFP3_SOD-123W,75.28125,-22.171875,180.0,top
D15,D,Nexperia_CFP3_SOD-123W,62.390625,-50.015625,90.0,top
D20,D,Nexperia_CFP3_SOD-123W,9.28125,-38.671875,180.0,top
D21,D,Nexperia_CFP3_SOD-123W,25.78125,-36.609375,180.0,top
D22,D,Nexperia_CFP3_SOD-123W,42.28125,-34.546875,180.0,top
D23,D,Nexperia_CFP3_SOD-123W,58.78125,-36.609375,180.0,top
D24,D,Nexperia_CFP3_SOD-123W,75.28125,-38.671875,180.0,top
D25,D,Nexperia_CFP3_SOD-123W,62.390625,-55.171875,90.0,top
D30,D,Nexperia_CFP3_SOD-123W,4.640625,-55.171875,180.0,top
D31,D,Nexperia_CFP3_SOD-123W,21.140625,-55.171875,180.0,top
D35,D,Nexperia_CFP3_SOD-123W,64.96875,-55.6875,90.0,top
R1,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.953125,-54.140625,90.0,top
R3,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,79.921875,-57.234375,0.0,top
